solving instance mcf nodes c43 3 6 exp
presolving:
(round 1, fast)       294 del vars, 294 del conss, 0 add conss, 500 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 2, fast)       588 del vars, 294 del conss, 0 add conss, 500 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 3, fast)       588 del vars, 294 del conss, 0 add conss, 500 chg bounds, 294 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 4, exhaustive) 588 del vars, 294 del conss, 0 add conss, 500 chg bounds, 294 chg sides, 0 chg coeffs, 20 upgd conss, 0 impls, 0 clqs
   (0.2s) probing cycle finished: starting next cycle
(round 5, exhaustive) 607 del vars, 294 del conss, 0 add conss, 500 chg bounds, 294 chg sides, 0 chg coeffs, 20 upgd conss, 872 impls, 0 clqs
(round 6, fast)       607 del vars, 313 del conss, 0 add conss, 519 chg bounds, 294 chg sides, 0 chg coeffs, 20 upgd conss, 872 impls, 0 clqs
   (0.2s) probing cycle finished: starting next cycle
   (0.2s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.2s) no symmetry present (symcode time: 0.01)
presolving (7 rounds: 7 fast, 3 medium, 3 exhaustive):
 607 deleted vars, 313 deleted constraints, 0 added constraints, 519 tightened bounds, 0 added holes, 294 changed sides, 0 changed coefficients
 872 implications, 0 cliques
presolved problem has 11801 variables (1 bin, 0 int, 0 impl, 11800 cont) and 1135 constraints
      1 constraints of type <varbound>
   1114 constraints of type <linear>
     20 constraints of type <nonlinear>
Presolving Time: 0.20

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
t 4.5s|     1 |     0 | 21472 |     - |  trysol|   0 |  11k|1135 |1255 |   0 |  0 |   0 |   0 | 3.027833e+04 | 5.607005e+04 |  85.18%| unknown
  5.8s|     1 |     0 | 29875 |     - |    76M |   0 |  11k|1135 |1255 |   0 |  0 |   0 |   0 | 3.027874e+04 | 5.607005e+04 |  85.18%| unknown
L17.7s|     1 |     0 | 29875 |     - |  subnlp|   0 |  11k|1135 |1255 |   0 |  0 |   0 |   0 | 3.027874e+04 | 3.303619e+04 |   9.11%| unknown
 17.8s|     1 |     0 | 29879 |     - |    77M |   0 |  11k|1135 |1258 |   3 |  1 |   0 |   0 | 3.027882e+04 | 3.303619e+04 |   9.11%| unknown
 17.8s|     1 |     0 | 29879 |     - |    77M |   0 |  11k|1135 |1258 |   3 |  1 |   0 |   0 | 3.027882e+04 | 3.303619e+04 |   9.11%| unknown
 17.8s|     1 |     0 | 29892 |     - |    77M |   0 |  11k|1135 |1260 |   5 |  2 |   0 |   0 | 3.027912e+04 | 3.303619e+04 |   9.11%| unknown
 17.9s|     1 |     0 | 29893 |     - |    77M |   0 |  11k|1135 |1261 |   6 |  3 |   0 |   0 | 3.027912e+04 | 3.303619e+04 |   9.11%| unknown
 21.0s|     1 |     0 | 44125 |     - |    78M |   0 |  11k|1135 |1261 |   6 |  4 |   0 |   0 | 3.279895e+04 | 3.303619e+04 |   0.72%| unknown
 22.0s|     1 |     0 | 49121 |     - |    78M |   0 |  11k|1135 |1280 |  25 |  5 |   0 |   0 | 3.280475e+04 | 3.303619e+04 |   0.71%| unknown
 22.0s|     1 |     0 | 49196 |     - |    78M |   0 |  11k|1135 |1300 |  45 |  6 |   0 |   0 | 3.281694e+04 | 3.303619e+04 |   0.67%| unknown
